fact,question,A,B,C,D,commonSense,answer
a dense forest environment is often dark in color,Aerial maps represent what feature using dark green?,the slopes of the Rocky Mountains,underwater ocean forests and coral,trees packed close together,The great northwestern plains,"['night time is dark', 'It is dark at night']",C
"as the size of a flower increases , the number of pollinators it will attract increases","As the flower size increases, what will it attract more of?",monarchs,grass,carnivores,toy butterfly,"['the carnation is larger, so pollinators will be more attracted to it over a smaller flower', 'flowers need fragrance to attract pollinators']",A
An example of camouflage is when something has the same color as its environment,What color is a stick bug?,brown,gray,green,black,"['adjusting shape and color is camouflaging', 'the color pallete decides how light an objects color is']",A
An example of combining two substances is pouring one substance into the other substance,An example of a true combination of mixed substances is,corn with butter,sand and pebbles,cream and coffee,dirt and sand,"['An example of combined substances could be cake', 'the object is the substance']",C
oil is a source of energy,Which of the following will help my non-electric lawnmower run?,UV rays,a cloudy day,dinosaur remains,an AC current,"['oil fields are the source of oil', 'a lawnmower is harmful to animals']",C
a scar is an acquired characteristic,An acquired characteristic is,a jagged raised welt you've had since you fell down the stairs 6 years ago,freckles from your mom's genes,"brown, curly hair that resembles your sister's",a large nose just like your dad's,"['an animal gets acquired characteristics from its parents', 'acquired characteristics can happen in a dangerous place']",A
if something contains a large amount of magnetic material then that something will attract magnets,What would potentially be attracted to a magnet?,a zipper,a cat,a lightbulb,a bench,"['magnetic rocks are attracted to magnets', 'magnetic attraction is a force']",A
an ecosystem contains large numbers of living organisms in a particular place,Large metropolises can have a huge bedbug,sport team,water bill,dating pool,infestation,"['bedbugs are living organisms', 'cells work together in large numbers']",D
muscles pull bones to move the bones,Fibrous tissue contracts to,show for the ladies,rest and repair itself,get other muscles out of the way,stretch out an arm,"['the arm is made of muscle and bone', 'shaking your head requires muscles moving bones']",D
a seismometer is used to measure the strength or magnitude of an earthquake,A seismometer will be able to tell someone,how wet a storm made the ground,how badly things were shaking,how loud a siren was,how fast a cheetah is,"['measuring tells you how much of something there is', 'tape measures can be used to measure meters']",B
"as available water in an environment decreases , the amount of available food in that environment will decrease",A lack of water has a direct connection on the amount of available,shelters,sustenance,rainy days,mates,"['adding a water feature would increase available water', 'introduce new water sources increases available water']",B
An example of migration is birds flying south in the winter,"Weather is getting a little more chilly, so a flock makes their way",elsewhere,north,Narnia,the moon,"['flying south is also known as migrating', 'flocks relocate when they migrate']",A
the length of the hair of an animal is an acquired characteristic,An example of an acquired characteristic is,the thickness of a horse's mane,the length of a horse's mane,the number of legs a horse has,the color of a horse's mane,"['an animal gets acquired characteristics from its parents', 'evolution to survive better in an environment is a form of acquired characteristics']",B
the thickness of the parts of an organism is an inherited characteristic,Which is an inherited characteristic?,hair length,clothing style,bone thickness,language skills,"['hand size is an inherited characteristic', ""inherited characteristics don't change""]",C
moist means high in moisture,Foggy days are said to be,good for skin,high in moister,extremely dry,very sunny,"['foggy days are very moist', 'moistness is similar to moisture']",B
a solution is made of one substance dissolved in another substance,Jerry put some salt into some tap water and stirred it up. What has Jerry made?,a solution,a battery,sea water,lemonade,"['coke is substance made of carbon dioxide, a substance and sugar, a substance dissolved in water', 'salt dissolves in water']",A
fruit contains seeds,"Some fruits are berries and have _____ visible on the outside, but others have them on the inside",corn,songs,mice,kernels,"['berries have seeds inside', 'fruit has seeds']",D
an island is formed by lava cooling on the ocean floor over time,A new island springs up out of the ocean after only a couple of years of,underwater buildup,animal testing,volcanic movies,millionaire ideas,"['island are new lands', 'Honolulu is an island made from lava']",A
high temperatures can cause an object to combust,Which of these objects could combust,Seashells,Grass,A cat,A paint can,"['lava has a high temperature and objects are destroyed when they combust', 'burning requires combustion']",D
